Dc_Dist,Psa,Dispatch_Date_Time,Dispatch_Date,Dispatch_Time,Hour,Dc_Key,Location_Block,UCR_General,Text_General_Code,Police_Districts,Month,Lon,Lat
18,3,2009-10-02 14:24:00,2009-10-02,14:24:00,14,200918067518,S 38TH ST  / MARKETUT ST,800,Other Assaults,,2009-10,,
14,1,2009-05-10 00:55:00,2009-05-10,00:55:00,0,200914033994,8500 BLOCK MITCH,2600,All Other Offenses,,2009-05,,
25,J,2009-08-07 15:40:00,2009-08-07,15:40:00,15,200925083199,6TH CAMBRIA,800,Other Assaults,,2009-08,,
35,D,2009-07-19 01:09:00,2009-07-19,01:09:00,1,200935061008,5500 BLOCK N 5TH ST,1500,Weapon Violations,20,2009-07,-75.130477,40.036389
09,R,2009-06-25 00:14:00,2009-06-25,00:14:00,0,200909030511,1800 BLOCK WYLIE ST,2600,All Other Offenses,8,2009-06,-75.16635,39.969532
17,1,2015-04-25 12:50:00,2015-04-25,12:50:00,12,201517017705,800 BLOCK S BROAD ST,600,Thefts,13,2015-04,-75.166412,39.94007
23,K,2009-02-10 14:33:00,2009-02-10,14:33:00,14,200923006310,2200 BLOCK RIDGE AVE,800,Other Assaults,16,2009-02,-75.171149,39.979586
77,A,2009-04-02 18:30:00,2009-04-02,18:30:00,18,200977001770,TERMINAL A W,500,Burglary Non-Residential,,2009-04,,
35,D,2009-03-18 01:14:00,2009-03-18,01:14:00,1,200935021299,N 5TH SOMMERVILLE,2600,All Other Offenses,,2009-03,,
23,L,2009-06-14 20:30:00,2009-06-14,20:30:00,20,200923029129,N 2828 W  MASTER STST,2600,All Other Offenses,,2009-06,,
22,P,2009-01-19 16:44:00,2009-01-19,16:44:00,16,200922003757,N 2800 ST  / DIAMOND ST,400,Aggravated Assault Firearm,,2009-01,,
01,J,2009-02-09 22:52:00,2009-02-09,22:52:00,22,200901004250,2700 BLOCK / 2720 / 2729  WOLF ST,800,Other Assaults,,2009-02,,
22,3,2015-10-06 18:18:00,2015-10-06,18:18:00,18,201522089374,1500 BLOCK N 15TH ST,600,Thefts,16,2015-10,-75.160229,39.976134
22,3,2015-10-09 00:49:00,2015-10-09,00:49:00,0,201522090172,1500 BLOCK N 17TH ST,600,Thefts,16,2015-10,-75.163073,39.977872
77,A,2015-05-03 20:39:00,2015-05-03,20:39:00,20,201577002447,GATE C-18,600,Thefts,,2015-05,,
02,1,2015-11-30 08:39:00,2015-11-30,08:39:00,8,201502076521,6500 BLOCK CASTOR AV,600,Thefts,2,2015-11,-75.075602,40.04127
77,A,2009-03-12 11:46:00,2009-03-12,11:46:00,11,200977001338,B-BAGGAGE,2600,All Other Offenses,,2009-03,,
23,J,2009-03-21 23:46:00,2009-03-21,23:46:00,23,200923013118,N 2237 W  OXFORD STRD ST,600,Theft from Vehicle,,2009-03,,
24,2,2015-04-11 17:38:00,2015-04-11,17:38:00,17,201524030846,2800 BLOCK RUTH ST,2400,Disorderly Conduct,17,2015-04,-75.122057,39.990907
23,1,2009-12-12 14:13:00,2009-12-12,14:13:00,14,200923058487,N 1200 N 18TH ST,600,Theft from Vehicle,,2009-12,,
05,F,2009-08-30 00:14:00,2009-08-30,00:14:00,0,200905020423,100 BLOCK LEVERING ST / MAIN ST,1400,Vandalism/Criminal Mischief,,2009-08,,